"(0.04, -0.3, -0.31, 0.31, 0.24)","(array([ 3.6304, -0.1877,  0.25  ]), array([ 0.    ,  0.    , -0.01  ,  0.9999]))"
"(0.08, -0.3, -0.31, 0.31, 0.24)","(array([ 3.6303, -0.1686,  0.25  ]), array([0.  , 0.  , 0.01, 1.  ]))"
"(0.0799, -0.3, 0.25, 0.3099, 0.24)","(array([3.5052, 0.8559, 0.25  ]), array([0.    , 0.    , 0.2858, 0.9583]))"
"(0.08, -0.2999, -0.3999, 0.3101, 0.2401)","(array([ 3.5964, -0.3327,  0.25  ]), array([ 0.    ,  0.    , -0.0349,  0.9994]))"
"(0.08, -0.3, -0.4, -0.27, 0.24)","(array([ 3.3252, -0.9533,  0.25  ]), array([ 0.    ,  0.    , -0.3193,  0.9477]))"
"(0.24, -0.3, -0.4, -0.27, 0.24)","(array([ 3.3654, -0.8891,  0.25  ]), array([ 0.    ,  0.    , -0.2426,  0.9701]))"
"(0.24, -0.3, -0.4, 0.09, 0.24)","(array([ 3.5516, -0.5115,  0.25  ]), array([ 0.    ,  0.    , -0.0649,  0.9979]))"
"(0.2401, -0.2999, 0.3701, 0.0901, 0.2401)","(array([3.497 , 0.8987, 0.25  ]), array([0.    , 0.    , 0.3149, 0.9491]))"
"(-0.35, -0.3, 0.37, 0.09, 0.24)","(array([3.5936, 0.6385, 0.25  ]), array([0.    , 0.    , 0.0249, 0.9997]))"
"(-0.3499, -0.2999, -0.2599, 0.0901, 0.2401)","(array([ 3.5486, -0.5243,  0.25  ]), array([ 0.    ,  0.    , -0.2858,  0.9583]))"
"(0.3799, -0.3, -0.26, 0.09, 0.24)","(array([ 3.6172, -0.1932,  0.25  ]), array([0.    , 0.    , 0.0748, 0.9972]))"
"(0.38, 0.12, -0.26, 0.09, 0.24)","(array([3.5438, 0.8749, 0.25  ]), array([0.    , 0.    , 0.2812, 0.9596]))"
"(0.38, 0.12, -0.26, 0.09, 0.17)","(array([3.5973, 0.6517, 0.25  ]), array([0.    , 0.    , 0.2474, 0.9689]))"
"(0.38, 0.12, -0.26, 0.04, 0.17)","(array([3.6113, 0.5953, 0.25  ]), array([0.    , 0.    , 0.2231, 0.9748]))"
"(0.38, 0.12, -0.26, 0.4, 0.17)","(array([3.4502, 0.979 , 0.25  ]), array([0.    , 0.    , 0.3941, 0.9191]))"
"(0.38, 0.12, -0.26, -0.05, 0.17)","(array([3.6292, 0.4923, 0.25  ]), array([0.    , 0.    , 0.179 , 0.9838]))"
"(0.38, 0.12, -0.26, -0.19, 0.17)","(array([3.6386, 0.3301, 0.25  ]), array([0.    , 0.    , 0.1098, 0.994 ]))"
"(0.38, 0.12, -0.33, -0.19, 0.17)","(array([3.6345, 0.1991, 0.25  ]), array([0.    , 0.    , 0.0749, 0.9972]))"
"(0.38, -0.38, -0.33, -0.19, 0.17)","(array([ 3.3605, -1.032 ,  0.25  ]), array([ 0.    ,  0.    , -0.1741,  0.9847]))"
"(0.38, -0.3, -0.33, -0.19, 0.17)","(array([ 3.4452, -0.8467,  0.25  ]), array([ 0.    ,  0.    , -0.1346,  0.9909]))"
"(0.38, -0.3, -0.33, -0.41, 0.17)","(array([ 3.2986, -1.0554,  0.25  ]), array([ 0.    ,  0.    , -0.2426,  0.9701]))"
"(0.38, -0.3, -0.08, -0.41, 0.17)","(array([ 3.5198, -0.6487,  0.25  ]), array([ 0.    ,  0.    , -0.1197,  0.9928]))"
"(0.38, -0.3, -0.08, -0.41, -0.04)","(array([ 3.3157, -1.2875,  0.25  ]), array([ 0.    ,  0.    , -0.2231,  0.9748]))"
"(0.3798, -0.3001, -0.0801, 0.4199, -0.04)","(array([ 3.5633, -0.3849,  0.25  ]), array([0.    , 0.    , 0.1885, 0.9821]))"
"(0.38, 0.02, -0.08, 0.42, -0.04)","(array([3.5499, 0.4104, 0.25  ]), array([0.    , 0.    , 0.343 , 0.9393]))"
